date,season,home_team,away_team,home_goals,away_goals,stage
11/28/2023,2023-24,Manchester City FC,RB Leipzig,3,2,GROUP_STAGE
11/28/2023,2023-24,FC Barcelona,FC Porto,2,1,GROUP_STAGE
11/29/2023,2023-24,Galatasaray SK,Manchester United FC,3,3,GROUP_STAGE
11/29/2023,2023-24,Sevilla FC,PSV,2,3,GROUP_STAGE
11/29/2023,2023-24,Sporting Clube de Braga,1. FC Union Berlin,1,1,GROUP_STAGE
11/29/2023,2023-24,Real Madrid CF,SSC Napoli,4,2,GROUP_STAGE
11/29/2023,2023-24,Sport Lisboa e Benfica,FC Internazionale Milano,3,3,GROUP_STAGE
11/29/2023,2023-24,Real Sociedad de Fútbol,FC Red Bull Salzburg,0,0,GROUP_STAGE
11/29/2023,2023-24,FC Bayern München,FC København,0,0,GROUP_STAGE
11/29/2023,2023-24,Arsenal FC,Racing Club de Lens,6,0,GROUP_STAGE
12/12/2023,2023-24,PSV,Arsenal FC,1,1,GROUP_STAGE
12/12/2023,2023-24,Racing Club de Lens,Sevilla FC,2,1,GROUP_STAGE
12/12/2023,2023-24,1. FC Union Berlin,Real Madrid CF,2,3,GROUP_STAGE
12/12/2023,2023-24,SSC Napoli,Sporting Clube de Braga,2,0,GROUP_STAGE
12/12/2023,2023-24,FC Internazionale Milano,Real Sociedad de Fútbol,0,0,GROUP_STAGE
12/12/2023,2023-24,FC Red Bull Salzburg,Sport Lisboa e Benfica,1,3,GROUP_STAGE
12/12/2023,2023-24,Manchester United FC,FC Bayern München,0,1,GROUP_STAGE
12/12/2023,2023-24,FC København,Galatasaray SK,1,0,GROUP_STAGE
12/13/2023,2023-24,RB Leipzig,BSC Young Boys,2,1,GROUP_STAGE
12/13/2023,2023-24,FK Crvena Zvezda,Manchester City FC,2,3,GROUP_STAGE
12/13/2023,2023-24,Club Atlético de Madrid,SS Lazio,2,0,GROUP_STAGE
12/13/2023,2023-24,Celtic FC,Feyenoord Rotterdam,2,1,GROUP_STAGE
12/13/2023,2023-24,Newcastle United FC,AC Milan,1,2,GROUP_STAGE
12/13/2023,2023-24,Borussia Dortmund,Paris Saint-Germain FC,1,1,GROUP_STAGE
12/13/2023,2023-24,Royal Antwerp FC,FC Barcelona,3,2,GROUP_STAGE
12/13/2023,2023-24,FC Porto,FK Shakhtar Donetsk,5,3,GROUP_STAGE
2/13/2024,2023-24,FC København,Manchester City FC,1,3,LAST_16
2/13/2024,2023-24,RB Leipzig,Real Madrid CF,0,1,LAST_16
2/14/2024,2023-24,Paris Saint-Germain FC,Real Sociedad de Fútbol,2,0,LAST_16
2/14/2024,2023-24,SS Lazio,FC Bayern München,1,0,LAST_16
2/20/2024,2023-24,FC Internazionale Milano,Club Atlético de Madrid,1,0,LAST_16
2/20/2024,2023-24,PSV,Borussia Dortmund,1,1,LAST_16
2/21/2024,2023-24,FC Porto,Arsenal FC,1,0,LAST_16
2/21/2024,2023-24,SSC Napoli,FC Barcelona,1,1,LAST_16
3/5/2024,2023-24,Real Sociedad de Fútbol,Paris Saint-Germain FC,1,2,LAST_16
3/5/2024,2023-24,FC Bayern München,SS Lazio,3,0,LAST_16
3/6/2024,2023-24,Manchester City FC,FC København,3,1,LAST_16
3/6/2024,2023-24,Real Madrid CF,RB Leipzig,1,1,LAST_16
3/12/2024,2023-24,Arsenal FC,FC Porto,5,2,LAST_16
3/12/2024,2023-24,FC Barcelona,SSC Napoli,3,1,LAST_16
3/13/2024,2023-24,Club Atlético de Madrid,FC Internazionale Milano,5,3,LAST_16
3/13/2024,2023-24,Borussia Dortmund,PSV,2,0,LAST_16
4/9/2024,2023-24,Arsenal FC,FC Bayern München,2,2,QUARTER_FINALS
4/9/2024,2023-24,Real Madrid CF,Manchester City FC,3,3,QUARTER_FINALS
4/10/2024,2023-24,Club Atlético de Madrid,Borussia Dortmund,2,1,QUARTER_FINALS
4/10/2024,2023-24,Paris Saint-Germain FC,FC Barcelona,2,3,QUARTER_FINALS
4/16/2024,2023-24,Borussia Dortmund,Club Atlético de Madrid,4,2,QUARTER_FINALS
4/16/2024,2023-24,FC Barcelona,Paris Saint-Germain FC,1,4,QUARTER_FINALS
4/17/2024,2023-24,FC Bayern München,Arsenal FC,1,0,QUARTER_FINALS
4/17/2024,2023-24,Manchester City FC,Real Madrid CF,4,5,QUARTER_FINALS
4/30/2024,2023-24,FC Bayern München,Real Madrid CF,2,2,SEMI_FINALS
5/1/2024,2023-24,Borussia Dortmund,Paris Saint-Germain FC,1,0,SEMI_FINALS
5/7/2024,2023-24,Paris Saint-Germain FC,Borussia Dortmund,0,1,SEMI_FINALS
5/8/2024,2023-24,Real Madrid CF,FC Bayern München,2,1,SEMI_FINALS
6/1/2024,2023-24,Borussia Dortmund,Real Madrid CF,0,2,FINAL
9/17/2024,2024-25,BSC Young Boys,Aston Villa FC,0,3,LEAGUE_STAGE
9/17/2024,2024-25,Juventus FC,PSV,3,1,LEAGUE_STAGE
9/17/2024,2024-25,Sporting Clube de Portugal,Lille OSC,2,0,LEAGUE_STAGE
9/17/2024,2024-25,FC Bayern München,GNK Dinamo Zagreb,9,2,LEAGUE_STAGE
9/17/2024,2024-25,Real Madrid CF,VfB Stuttgart,3,1,LEAGUE_STAGE
9/17/2024,2024-25,AC Milan,Liverpool FC,1,3,LEAGUE_STAGE
9/18/2024,2024-25,Bologna FC 1909,FK Shakhtar Donetsk,0,0,LEAGUE_STAGE
9/18/2024,2024-25,AC Sparta Praha,FC Red Bull Salzburg,3,0,LEAGUE_STAGE
9/18/2024,2024-25,Manchester City FC,FC Internazionale Milano,0,0,LEAGUE_STAGE
9/18/2024,2024-25,Paris Saint-Germain FC,Girona FC,1,0,LEAGUE_STAGE
9/18/2024,2024-25,Club Brugge KV,Borussia Dortmund,0,3,LEAGUE_STAGE
9/18/2024,2024-25,Celtic FC,ŠK Slovan Bratislava,5,1,LEAGUE_STAGE
9/19/2024,2024-25,Feyenoord Rotterdam,Bayer 04 Leverkusen,0,4,LEAGUE_STAGE
9/19/2024,2024-25,FK Crvena Zvezda,Sport Lisboa e Benfica,1,2,LEAGUE_STAGE
9/19/2024,2024-25,AS Monaco FC,FC Barcelona,2,1,LEAGUE_STAGE
9/19/2024,2024-25,Stade Brestois 29,SK Sturm Graz,2,1,LEAGUE_STAGE
9/19/2024,2024-25,Atalanta BC,Arsenal FC,0,0,LEAGUE_STAGE
9/19/2024,2024-25,Club Atlético de Madrid,RB Leipzig,2,1,LEAGUE_STAGE
10/1/2024,2024-25,VfB Stuttgart,AC Sparta Praha,1,1,LEAGUE_STAGE
10/1/2024,2024-25,FC Red Bull Salzburg,Stade Brestois 29,0,4,LEAGUE_STAGE
10/1/2024,2024-25,ŠK Slovan Bratislava,Manchester City FC,0,4,LEAGUE_STAGE
10/1/2024,2024-25,Borussia Dortmund,Celtic FC,7,1,LEAGUE_STAGE
10/1/2024,2024-25,FC Barcelona,BSC Young Boys,5,0,LEAGUE_STAGE
10/1/2024,2024-25,FC Internazionale Milano,FK Crvena Zvezda,4,0,LEAGUE_STAGE
10/1/2024,2024-25,Bayer 04 Leverkusen,AC Milan,1,0,LEAGUE_STAGE
10/1/2024,2024-25,Arsenal FC,Paris Saint-Germain FC,2,0,LEAGUE_STAGE
10/1/2024,2024-25,PSV,Sporting Clube de Portugal,1,1,LEAGUE_STAGE
10/2/2024,2024-25,Girona FC,Feyenoord Rotterdam,2,3,LEAGUE_STAGE
10/2/2024,2024-25,FK Shakhtar Donetsk,Atalanta BC,0,3,LEAGUE_STAGE
10/2/2024,2024-25,Aston Villa FC,FC Bayern München,1,0,LEAGUE_STAGE
10/2/2024,2024-25,SK Sturm Graz,Club Brugge KV,0,1,LEAGUE_STAGE
10/2/2024,2024-25,Liverpool FC,Bologna FC 1909,2,0,LEAGUE_STAGE
10/2/2024,2024-25,RB Leipzig,Juventus FC,2,3,LEAGUE_STAGE
10/2/2024,2024-25,Sport Lisboa e Benfica,Club Atlético de Madrid,4,0,LEAGUE_STAGE
10/2/2024,2024-25,GNK Dinamo Zagreb,AS Monaco FC,2,2,LEAGUE_STAGE
10/2/2024,2024-25,Lille OSC,Real Madrid CF,1,0,LEAGUE_STAGE
10/22/2024,2024-25,AS Monaco FC,FK Crvena Zvezda,5,1,LEAGUE_STAGE
10/22/2024,2024-25,AC Milan,Club Brugge KV,3,1,LEAGUE_STAGE
10/22/2024,2024-25,Aston Villa FC,Bologna FC 1909,2,0,LEAGUE_STAGE
10/22/2024,2024-25,Girona FC,ŠK Slovan Bratislava,2,0,LEAGUE_STAGE
10/22/2024,2024-25,SK Sturm Graz,Sporting Clube de Portugal,0,2,LEAGUE_STAGE
10/22/2024,2024-25,Paris Saint-Germain FC,PSV,1,1,LEAGUE_STAGE
10/22/2024,2024-25,Real Madrid CF,Borussia Dortmund,5,2,LEAGUE_STAGE
10/22/2024,2024-25,Arsenal FC,FK Shakhtar Donetsk,1,0,LEAGUE_STAGE
10/22/2024,2024-25,Juventus FC,VfB Stuttgart,0,1,LEAGUE_STAGE
10/23/2024,2024-25,Stade Brestois 29,Bayer 04 Leverkusen,1,1,LEAGUE_STAGE
10/23/2024,2024-25,Atalanta BC,Celtic FC,0,0,LEAGUE_STAGE
10/23/2024,2024-25,BSC Young Boys,FC Internazionale Milano,0,1,LEAGUE_STAGE
10/23/2024,2024-25,FC Barcelona,FC Bayern München,4,1,LEAGUE_STAGE
10/23/2024,2024-25,Manchester City FC,AC Sparta Praha,5,0,LEAGUE_STAGE
10/23/2024,2024-25,RB Leipzig,Liverpool FC,0,1,LEAGUE_STAGE
10/23/2024,2024-25,Club Atlético de Madrid,Lille OSC,1,3,LEAGUE_STAGE
10/23/2024,2024-25,Sport Lisboa e Benfica,Feyenoord Rotterdam,1,3,LEAGUE_STAGE
10/23/2024,2024-25,FC Red Bull Salzburg,GNK Dinamo Zagreb,0,2,LEAGUE_STAGE
11/5/2024,2024-25,ŠK Slovan Bratislava,GNK Dinamo Zagreb,1,4,LEAGUE_STAGE
11/5/2024,2024-25,PSV,Girona FC,4,0,LEAGUE_STAGE
11/5/2024,2024-25,Sporting Clube de Portugal,Manchester City FC,4,1,LEAGUE_STAGE
11/5/2024,2024-25,Bologna FC 1909,AS Monaco FC,0,1,LEAGUE_STAGE
11/5/2024,2024-25,Borussia Dortmund,SK Sturm Graz,1,0,LEAGUE_STAGE
11/5/2024,2024-25,Liverpool FC,Bayer 04 Leverkusen,4,0,LEAGUE_STAGE
11/5/2024,2024-25,Real Madrid CF,AC Milan,1,3,LEAGUE_STAGE
11/5/2024,2024-25,Celtic FC,RB Leipzig,3,1,LEAGUE_STAGE
11/5/2024,2024-25,Lille OSC,Juventus FC,1,1,LEAGUE_STAGE
11/6/2024,2024-25,Club Brugge KV,Aston Villa FC,1,0,LEAGUE_STAGE
11/6/2024,2024-25,FK Shakhtar Donetsk,BSC Young Boys,2,1,LEAGUE_STAGE
11/6/2024,2024-25,AC Sparta Praha,Stade Brestois 29,1,2,LEAGUE_STAGE
11/6/2024,2024-25,VfB Stuttgart,Atalanta BC,0,2,LEAGUE_STAGE
11/6/2024,2024-25,FC Internazionale Milano,Arsenal FC,1,0,LEAGUE_STAGE
11/6/2024,2024-25,Paris Saint-Germain FC,Club Atlético de Madrid,1,2,LEAGUE_STAGE
11/6/2024,2024-25,Feyenoord Rotterdam,FC Red Bull Salzburg,1,3,LEAGUE_STAGE
11/6/2024,2024-25,FK Crvena Zvezda,FC Barcelona,2,5,LEAGUE_STAGE
11/6/2024,2024-25,FC Bayern München,Sport Lisboa e Benfica,1,0,LEAGUE_STAGE
11/26/2024,2024-25,ŠK Slovan Bratislava,AC Milan,2,3,LEAGUE_STAGE
11/26/2024,2024-25,AC Sparta Praha,Club Atlético de Madrid,0,6,LEAGUE_STAGE
11/26/2024,2024-25,Sporting Clube de Portugal,Arsenal FC,1,5,LEAGUE_STAGE
11/26/2024,2024-25,BSC Young Boys,Atalanta BC,1,6,LEAGUE_STAGE
11/26/2024,2024-25,FC Bayern München,Paris Saint-Germain FC,1,0,LEAGUE_STAGE
11/26/2024,2024-25,FC Barcelona,Stade Brestois 29,3,0,LEAGUE_STAGE
11/26/2024,2024-25,FC Internazionale Milano,RB Leipzig,1,0,LEAGUE_STAGE
11/26/2024,2024-25,Manchester City FC,Feyenoord Rotterdam,3,3,LEAGUE_STAGE
11/26/2024,2024-25,Bayer 04 Leverkusen,FC Red Bull Salzburg,5,0,LEAGUE_STAGE
11/27/2024,2024-25,SK Sturm Graz,Girona FC,1,0,LEAGUE_STAGE
11/27/2024,2024-25,FK Crvena Zvezda,VfB Stuttgart,5,1,LEAGUE_STAGE
11/27/2024,2024-25,AS Monaco FC,Sport Lisboa e Benfica,2,3,LEAGUE_STAGE
11/27/2024,2024-25,Aston Villa FC,Juventus FC,0,0,LEAGUE_STAGE
11/27/2024,2024-25,Bologna FC 1909,Lille OSC,1,2,LEAGUE_STAGE
11/27/2024,2024-25,Liverpool FC,Real Madrid CF,2,0,LEAGUE_STAGE
11/27/2024,2024-25,Celtic FC,Club Brugge KV,1,1,LEAGUE_STAGE
11/27/2024,2024-25,GNK Dinamo Zagreb,Borussia Dortmund,0,3,LEAGUE_STAGE
11/27/2024,2024-25,PSV,FK Shakhtar Donetsk,3,2,LEAGUE_STAGE
12/10/2024,2024-25,Girona FC,Liverpool FC,0,1,LEAGUE_STAGE
12/10/2024,2024-25,GNK Dinamo Zagreb,Celtic FC,0,0,LEAGUE_STAGE
12/10/2024,2024-25,Stade Brestois 29,PSV,1,0,LEAGUE_STAGE
12/10/2024,2024-25,RB Leipzig,Aston Villa FC,2,3,LEAGUE_STAGE
12/10/2024,2024-25,Atalanta BC,Real Madrid CF,2,3,LEAGUE_STAGE
12/10/2024,2024-25,Bayer 04 Leverkusen,FC Internazionale Milano,1,0,LEAGUE_STAGE
12/10/2024,2024-25,Club Brugge KV,Sporting Clube de Portugal,2,1,LEAGUE_STAGE
12/10/2024,2024-25,FK Shakhtar Donetsk,FC Bayern München,1,5,LEAGUE_STAGE
12/10/2024,2024-25,FC Red Bull Salzburg,Paris Saint-Germain FC,0,3,LEAGUE_STAGE
12/11/2024,2024-25,Club Atlético de Madrid,ŠK Slovan Bratislava,3,1,LEAGUE_STAGE
12/11/2024,2024-25,Lille OSC,SK Sturm Graz,3,2,LEAGUE_STAGE
12/11/2024,2024-25,VfB Stuttgart,BSC Young Boys,5,1,LEAGUE_STAGE
12/11/2024,2024-25,Borussia Dortmund,FC Barcelona,2,3,LEAGUE_STAGE
12/11/2024,2024-25,AC Milan,FK Crvena Zvezda,2,1,LEAGUE_STAGE
12/11/2024,2024-25,Sport Lisboa e Benfica,Bologna FC 1909,0,0,LEAGUE_STAGE
12/11/2024,2024-25,Arsenal FC,AS Monaco FC,3,0,LEAGUE_STAGE
12/11/2024,2024-25,Juventus FC,Manchester City FC,2,0,LEAGUE_STAGE
12/11/2024,2024-25,Feyenoord Rotterdam,AC Sparta Praha,4,2,LEAGUE_STAGE
1/21/2025,2024-25,AS Monaco FC,Aston Villa FC,1,0,LEAGUE_STAGE
1/21/2025,2024-25,Atalanta BC,SK Sturm Graz,5,0,LEAGUE_STAGE
1/21/2025,2024-25,Bologna FC 1909,Borussia Dortmund,2,1,LEAGUE_STAGE
1/21/2025,2024-25,ŠK Slovan Bratislava,VfB Stuttgart,1,3,LEAGUE_STAGE
1/21/2025,2024-25,Liverpool FC,Lille OSC,2,1,LEAGUE_STAGE
1/21/2025,2024-25,Club Atlético de Madrid,Bayer 04 Leverkusen,2,1,LEAGUE_STAGE
1/21/2025,2024-25,Sport Lisboa e Benfica,FC Barcelona,4,5,LEAGUE_STAGE
1/21/2025,2024-25,Club Brugge KV,Juventus FC,0,0,LEAGUE_STAGE
1/21/2025,2024-25,FK Crvena Zvezda,PSV,2,3,LEAGUE_STAGE
1/22/2025,2024-25,RB Leipzig,Sporting Clube de Portugal,2,1,LEAGUE_STAGE
1/22/2025,2024-25,FK Shakhtar Donetsk,Stade Brestois 29,2,0,LEAGUE_STAGE
1/22/2025,2024-25,AC Sparta Praha,FC Internazionale Milano,0,1,LEAGUE_STAGE
1/22/2025,2024-25,Paris Saint-Germain FC,Manchester City FC,4,2,LEAGUE_STAGE
1/22/2025,2024-25,Real Madrid CF,FC Red Bull Salzburg,5,1,LEAGUE_STAGE
1/22/2025,2024-25,AC Milan,Girona FC,1,0,LEAGUE_STAGE
1/22/2025,2024-25,Arsenal FC,GNK Dinamo Zagreb,3,0,LEAGUE_STAGE
1/22/2025,2024-25,Celtic FC,BSC Young Boys,1,0,LEAGUE_STAGE
1/22/2025,2024-25,Feyenoord Rotterdam,FC Bayern München,3,0,LEAGUE_STAGE
1/29/2025,2024-25,Sporting Clube de Portugal,Bologna FC 1909,1,1,LEAGUE_STAGE
1/29/2025,2024-25,BSC Young Boys,FK Crvena Zvezda,0,1,LEAGUE_STAGE
1/29/2025,2024-25,Aston Villa FC,Celtic FC,4,2,LEAGUE_STAGE
1/29/2025,2024-25,Girona FC,Arsenal FC,1,2,LEAGUE_STAGE
1/29/2025,2024-25,Stade Brestois 29,Real Madrid CF,0,3,LEAGUE_STAGE
1/29/2025,2024-25,SK Sturm Graz,RB Leipzig,1,0,LEAGUE_STAGE
1/29/2025,2024-25,VfB Stuttgart,Paris Saint-Germain FC,1,4,LEAGUE_STAGE
1/29/2025,2024-25,FC Bayern München,ŠK Slovan Bratislava,3,1,LEAGUE_STAGE
1/29/2025,2024-25,Borussia Dortmund,FK Shakhtar Donetsk,3,1,LEAGUE_STAGE
1/29/2025,2024-25,FC Barcelona,Atalanta BC,2,2,LEAGUE_STAGE
1/29/2025,2024-25,FC Internazionale Milano,AS Monaco FC,3,0,LEAGUE_STAGE
1/29/2025,2024-25,Manchester City FC,Club Brugge KV,3,1,LEAGUE_STAGE
1/29/2025,2024-25,Bayer 04 Leverkusen,AC Sparta Praha,2,0,LEAGUE_STAGE
1/29/2025,2024-25,Juventus FC,Sport Lisboa e Benfica,0,2,LEAGUE_STAGE
1/29/2025,2024-25,GNK Dinamo Zagreb,AC Milan,2,1,LEAGUE_STAGE
1/29/2025,2024-25,Lille OSC,Feyenoord Rotterdam,6,1,LEAGUE_STAGE
1/29/2025,2024-25,PSV,Liverpool FC,3,2,LEAGUE_STAGE
1/29/2025,2024-25,FC Red Bull Salzburg,Club Atlético de Madrid,1,4,LEAGUE_STAGE
2/11/2025,2024-25,Stade Brestois 29,Paris Saint-Germain FC,0,3,PLAYOFFS
2/11/2025,2024-25,Manchester City FC,Real Madrid CF,2,3,PLAYOFFS
2/11/2025,2024-25,Juventus FC,PSV,2,1,PLAYOFFS
2/11/2025,2024-25,Sporting Clube de Portugal,Borussia Dortmund,0,3,PLAYOFFS
2/12/2025,2024-25,Club Brugge KV,Atalanta BC,2,1,PLAYOFFS
2/12/2025,2024-25,AS Monaco FC,Sport Lisboa e Benfica,0,1,PLAYOFFS
2/12/2025,2024-25,Celtic FC,FC Bayern München,1,2,PLAYOFFS
2/12/2025,2024-25,Feyenoord Rotterdam,AC Milan,1,0,PLAYOFFS
2/18/2025,2024-25,AC Milan,Feyenoord Rotterdam,1,1,PLAYOFFS
2/18/2025,2024-25,Sport Lisboa e Benfica,AS Monaco FC,3,3,PLAYOFFS
2/18/2025,2024-25,FC Bayern München,Celtic FC,1,1,PLAYOFFS
2/18/2025,2024-25,Atalanta BC,Club Brugge KV,1,3,PLAYOFFS
2/19/2025,2024-25,Borussia Dortmund,Sporting Clube de Portugal,0,0,PLAYOFFS
2/19/2025,2024-25,Paris Saint-Germain FC,Stade Brestois 29,7,0,PLAYOFFS
2/19/2025,2024-25,Real Madrid CF,Manchester City FC,3,1,PLAYOFFS
